,_id,title,category,post_type
0,5d62abaa65218653a132c956,hello there,plant biotechnology,blog
1,5d6d39567fa40e1417a4931c,Ml and AI,artificial machine information learning technology intelligence,blog
2,5d7d23315720533e15c3b1ee,What is an Operating System ?,systems operating,blog
3,5d7d405e5720533e15c3b1f3,Lord Shiva,drawings,artwork
4,5d80dfbc6c53455f896e600e,How Competition law evolved?,competition laws,blog
5,5d80e7c16c53455f896e6014,Raghavan Committee - 2002.,competition laws,blog
6,5d80ecfd6c53455f896e601a,Let's discuss some Case laws!,competition laws,blog
7,5d81323a6c53455f896e6044,Forms of Cartel.,competition laws,blog
8,5d9b3514979d5962253c2f90,Biodiversity,eco system,blog
9,5d9b950768671220a1b2b153,Economic policy,policies economic,blog
10,5da745b6019399436815c4cd,Corporate design,design graphic,artwork
11,5dada695610ba040fbfdf585,Trident,drawings,artwork
12,5dada734610ba040fbfdf588,Lord shiva,drawings,artwork
13,5dada798610ba040fbfdf58b,Smart City,painting,artwork
14,5dada82f610ba040fbfdf58e,Om Namah Shivaay,pen and ink,artwork
15,5dada89b610ba040fbfdf591,Kid Bu,drawings,artwork
16,5dadf6ae610ba040fbfdf5c8,MIS,technology information computer,blog
17,5db2a7d099cbb90e4339c734,Portrait art,drawings painting,artwork
18,5db2b91a99cbb90e4339c749,CLASSIFYING FORMS OF CARTELS,competition laws,blog
19,5dbc622a99cbb90e4339c7f6,Best friend,design arts graphic illustration visual,artwork
20,5dbc631f99cbb90e4339c7fd,Calligraphy,drawings calligraphy,artwork
21,5dc065ca24b883670268772f,Colours of pushkar.,photography,artwork
22,5dd1751db802e41ed198b680,Marital Rape - Rape is Rape,empowerment,blog
23,5dde6a91369b28584ecca156,Spirituality,photography,artwork
24,5ddeb6e80eb5e25a8a07f065,Library Managment System: Software Requirement Specification (SRS),technology computer,project
25,5de179d80eb5e25a8a07f079,Navigation system using BFS DFS algorithms,design algorithms and technology analysis of computer,project
26,5de7971b8eab6401affbb137,Shadow Sketch,drawings,artwork
27,5de8d73249e8203ff9219a74,Promotional video.,video editing,skill
28,5dea816a42a8854bf6eaba89,The Periodic Table,inorganic chemistry,blog
29,5dee9b5042a8854bf6eabaaf,Computer Aided Machine Drawing (CAMD),technology computer,project
30,5df64ad1cc709107827fb3dd,The Chosen,drawings,artwork
31,5e04fb252a37d20505da2a2b,Python 3 Programming Introduction,languages programming,blog
32,5e1029f22a37d20505da2a79,Chat App UI Desgin,design conceptual graphic,artwork
33,5e27002d2a37d20505da2c13,Workforce Diversity as a Challenge,hr management,blog
34,5e281cf0025ae20886de2050,Spartan,drawings,artwork
35,5e2867f6025ae20886de205a,Human Resource Management,hr human management resources,blog
36,5e294fd1c85ab714a7da6643,Personal growth,international mass media relations,blog
37,5e2d36ebc85ab714a7da66d1,CONTOURING CLAY,sculptures artistic design,artwork
38,5e2d3fbfc85ab714a7da66d5,Multipurpose Jewel,design ceramics fashion artistic,artwork
39,5e2d447dc85ab714a7da66d7,Traditional and Modern Sports,design craft artistic,artwork
40,5e2d4737c85ab714a7da66d9,LGBT PRIDE,design artistic arts conceptual visual fashion,artwork
41,5e2d4d63c85ab714a7da66db,Magazine Cover Redefined,photography design artistic arts graphic visual fashion,artwork
42,5e2d516fc85ab714a7da66dd,'The Virtual ME',design artistic arts graphic illustration visual fashion,artwork
43,5e2f1811c85ab714a7da670d,Abacus,linear mathematics algebra,blog
44,5e31a591c85ab714a7da6760,Will AI replace humans intellectual work?,electronics electrical machines technology,blog
45,5e36746a8d344822fed4d147,ROMAN REIGNS,drawings,artwork
46,5e3674c68d344822fed4d152,OM,drawings,artwork
47,5e36763d8d344822fed4d15d,MK Swords,drawings,artwork
48,5e36db70eab55d319938a6cc,HOW INTERNAL AUDIT WORKS,internal audit auditing,blog
49,5e36e7baeab55d319938a6d1,E-Commerce,commerce transactions e,blog
50,5e372ee2eab55d319938a6ed,SEO (Search Engine Optimization),technology computation computer,blog
51,5e37c087eab55d319938a700,IMPORTANCE OF INTERNAL FINANCIAL CONTROL,internal financial control auditing,blog
52,5e37c301eab55d319938a701,Custom laws,taxation laws custom,blog
53,5e37c78aeab55d319938a703,WHY AUDIT EVIDENCE IS NECESSARY?,evidence audit auditing,blog
54,5e37ce10eab55d319938a710,GOODS & SERVICE TAX (GST),gst taxation,blog
55,5e37d08ceab55d319938a711,DIRECT TAX,tax direct taxation,blog
56,5e37d1afeab55d319938a712,SECRETARIAL AUDIT,secratarial audit auditing,blog
57,5e37d490eab55d319938a713,ROLE OF BANKING COMPANIES IN INDIA,companies banking,blog
58,5e37d699eab55d319938a71a,WHAT NEW TECHNOLOGY DOES BANKS ARE USING TODAY?,technology banking,blog
59,5e37d8c9eab55d319938a71e,AUDIT REMARK,remark audit auditing,blog
60,5e37d9eaeab55d319938a71f,WHY COST AUDIT IS IMPORTANT FOR A COMPANY,cost audit auditing,blog
61,5e37dc1aeab55d319938a720,WHAT IS STATUTORY AUDIT,statuary audit auditing,blog
62,5e3ab644eab55d319938a72d,Travelling,photography,artwork
63,5e3c7293eab55d319938a74d,PHP,technology languages computer programming,blog
64,5e3e9cc0eab55d319938a79b,C#(.NET),technology languages computer programming,blog
65,5e3ea110eab55d319938a7a7,OS,systems operating,project
66,5e3fc856eab55d319938a7f2,BASIC STRUCTURE DOCTRINE,legal studies system,blog
67,5e3fc931eab55d319938a7f4,SPORTS LEGISLATIONS IN INDIA,sports law coaching,blog
68,5e3fcb74eab55d319938a806,Economics Sociology,sociology economics,blog
69,5e3fcc56eab55d319938a808,Concept of Revenue,concept revenue economics,blog
70,5e3fcd38eab55d319938a81a,Human Rights and Duties,rights and human duties,blog
71,5e3fce21eab55d319938a81c,Concept of Human Rights and Duties,rights and human duties,blog
72,5e3fcfcdeab55d319938a81e,Sociology of Religion,sociology religion of,blog
73,5e3fd10aeab55d319938a820,Sociology in India,sociology in india,blog
74,5e3fd290eab55d319938a822,International Politics,international science politics political,blog
75,5e3fd3bdeab55d319938a824,Colonialism in India,science colonialism in india political,blog
76,5e3fd57aeab55d319938a826,Labour law,legal law labor studies,blog
77,5e41b98eeab55d319938a82d,PHP Variables,design languages algorithms and programming technology analysis of computer,blog
78,5e41bd7deab55d319938a839,Operators In PHP,languages information programming application technology computer,blog
79,5e431bf9eab55d319938a86a,Computer Graphics,creation graphics computer,blog
80,5e45ae70f5561b1994c8e320,Graphical Input Devices,creation graphics computer,blog
